Date,Date New,Fault_Block,Fault_Block Filter,Reservoir Name,Well Name,Year,geo_latitude,geo_longitude,geo_Well Name,Number of Records,Oil Cumulative kbbl ,Oil Cut,Oil Rate bbl/d ,Water Cumulative kbbl ,Water Cut,Water Rate bbl/d 
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,321,2004,4.559406747,13.00351521,321,1,14,0.99,468,0.09,0.01,3
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,322,2004,5.927402286,0.405919066,322,1,12,1,431,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,323,2004,5.157915119,7.669404706,323,1,21,1,737,0.07,0,2
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,324,2004,1.479071705,2.248093896,324,1,10,0.68,339,4.68,0.32,161
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,326,2004,5.846923553,15.83621981,326,1,23,0.79,794,6.05,0.21,209
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,328,2004,0.272256173,0.595741911,328,1,13,1,449,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,333,2004,2.266363706,10.4261232,333,1,0,,0,0,,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,335,2004,7.367948587,10.10701577,335,1,8,0.41,283,11.97,0.59,413
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,336,2004,0.963587483,1.416737278,336,1,8,1,293,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,309,2004,7.715539274,16.09447034,309,1,45,0.99,1567,0.38,0.01,13
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,311,2004,7.207781043,12.45832368,311,1,51,1,1775,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,311,2004,8.336194656,11.27788115,311,1,51,1,1775,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,313,2004,0.451134421,15.19707963,313,1,54,0.99,1865,0.28,0.01,10
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,314,2004,6.454300111,14.50394854,314,1,18,0.99,604,0.15,0.01,5
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,318,2004,6.216395214,12.5987751,318,1,39,1,1331,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,337,2004,5.345787894,4.125017787,337,1,19,1,653,0,0,0
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,340,2004,8.121862029,3.865392168,340,1,24,1,825,0.05,0,2
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,352,2004,0.604183582,6.276534647,352,1,13,0.99,432,0.11,0.01,4
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Ring Type II,Ring Type II,Onyx Alpha,316,2004,1.892359868,3.517536082,316,1,9,1,313,0.03,0,1
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Ring Type II,Ring Type II,Onyx Alpha,345,2004,1.590104148,6.328951755,345,1,8,0.99,259,0.04,0.01,1
2/29/2004 12:00:00 AM,2/28/2010 12:00:00 AM,Cataclasite,Cataclasite,Onyx Alpha,319,2004,8.272323896,13.0539819,319,1,5,0.57,184,4,0.43,138
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,n/a,n/a,Nor B,3,2004,0.126780413,9.273108304,3,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,83,2004,8.328476783,6.935440083,83,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,92,2004,0.575793982,9.209652685,92,1,69,0.99,1780,0.6,0.01,16
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,93,2004,3.074113152,6.878906021,93,1,76,0.96,1988,4.54,0.04,86
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,93,2004,5.991963176,2.547676107,93,1,76,0.96,1988,4.54,0.04,86
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,94,2004,5.552904264,8.483934588,94,1,113,0.99,2835,0.94,0.01,24
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,94,2004,7.162924908,11.19455439,94,1,113,0.99,2835,0.94,0.01,24
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,100,2004,3.915208228,10.54676382,100,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,105,2004,4.324203556,2.765538811,105,1,14,0.97,437,0.45,0.03,14
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,107,2004,2.09860342,5.344663595,107,1,22,0.99,705,0.16,0.01,5
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,112,2004,8.134120707,2.046215795,112,1,42,0.98,1352,0.79,0.02,25
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,113,2004,4.516033179,4.735347952,113,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,168,2004,0.19978859,10.01212948,168,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,330,2004,1.862293832,15.81207549,330,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,133,2004,8.473116935,14.57107902,133,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,135,2004,4.163883224,16.58303796,135,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,135,2004,6.867340025,15.73664975,135,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,138,2004,2.754508413,3.460543172,138,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Strike Type II,Strike Type II,Nor B,127,2004,7.504042548,5.833520335,127,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,2.872006476,11.50798328,18,1,66,1,1371,0.25,0,6
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,3.583850195,6.318003512,18,1,66,1,1371,0.25,0,6
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,7.958543251,4.219703484,18,1,66,1,1371,0.25,0,6
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,20,2004,0.465918197,14.16183982,20,1,20,1,640,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,20,2004,2.465849771,10.53941217,20,1,20,1,640,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,20,2004,7.561172387,1.743691162,20,1,20,1,640,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Ring Type II,Ring Type II,Nor B,39,2004,2.036576885,3.896792992,39,1,1,1,20,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Ring Type II,Ring Type II,Nor B,39,2004,7.818901228,2.179111931,39,1,1,1,20,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,7,2004,0.450222965,6.30424832,7,1,15,0.99,485,0.08,0.01,3
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,56,2004,0.084577775,11.64872135,56,1,42,1,1364,0.12,0,4
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,56,2004,5.147800589,1.1392422,56,1,42,1,1364,0.12,0,4
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,56,2004,7.403441658,1.662030351,56,1,42,1,1364,0.12,0,4
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,60,2004,0.506219521,12.73525876,60,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,60,2004,5.59900386,8.137347483,60,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,61,2004,0.40527818,6.664954726,61,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,61,2004,1.345488047,8.127301225,61,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,61,2004,4.468803024,12.06053562,61,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,210,2004,1.904164227,0.035615989,210,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,67,2004,4.160101269,9.289919335,67,1,27,0.99,541,0.3,0.01,4
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,67,2004,4.417454817,1.560976811,67,1,27,0.99,541,0.3,0.01,4
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,69,2004,1.863305367,9.097069759,69,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,76,2004,3.352950177,9.016241387,76,1,40,0.6,890,23.75,0.4,604
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,78,2004,0.498548843,9.495843778,78,1,34,0.93,918,3.15,0.07,68
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Nor B,78,2004,6.373574586,10.68802043,78,1,34,0.93,918,3.15,0.07,68
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,98,2004,5.761728159,1.482329261,98,1,51,1,1534,0.05,0,2
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,111,2004,4.768637615,10.21866077,111,1,58,0.91,1344,4.29,0.09,138
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,117,2004,1.460519809,8.156243326,117,1,80,1,1813,0.16,0,5
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,321,2004,4.559406747,13.00351521,321,1,83,1,2243,0.41,0,10
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,322,2004,5.927402286,0.405919066,322,1,62,1,1598,0.09,0,3
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,323,2004,5.157915119,7.669404706,323,1,75,1,1716,0.25,0,6
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,324,2004,1.479071705,2.248093896,324,1,19,0.38,292,19.41,0.62,475
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,326,2004,5.846923553,15.83621981,326,1,69,0.63,1489,33.74,0.37,893
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,328,2004,0.272256173,0.595741911,328,1,40,1,873,0.01,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,333,2004,2.266363706,10.4261232,333,1,14,0.35,442,25.99,0.65,838
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,335,2004,7.367948587,10.10701577,335,1,31,0.51,739,33.97,0.49,710
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type I,Dip Type I,Onyx Alpha,336,2004,0.963587483,1.416737278,336,1,33,0.43,780,32.04,0.57,1034
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Strike Type I,Strike Type I,Onyx Alpha,303,2004,0.27350575,2.333568684,303,1,61,1,1958,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Strike Type I,Strike Type I,Onyx Alpha,303,2004,7.546455003,5.26028835,303,1,61,1,1958,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Strike Type I,Strike Type I,Onyx Alpha,304,2004,0.439504226,15.53752682,304,1,67,1,2147,0.26,0,8
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Strike Type I,Strike Type I,Onyx Alpha,304,2004,4.940009789,10.10060387,304,1,67,1,2147,0.26,0,8
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Strike Type I,Strike Type I,Onyx Alpha,315,2004,7.308474052,14.45589609,315,1,23,1,752,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Oblique,Oblique,Onyx Alpha,306,2004,6.694367567,15.41786485,306,1,43,0.99,1382,0.59,0.01,19
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Oblique,Oblique,Onyx Alpha,362,2004,6.27526553,14.27371734,362,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,308,2004,4.529937738,9.595253572,308,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,309,2004,7.715539274,16.09447034,309,1,235,0.99,6109,1.53,0.01,37
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,310,2004,1.740574309,4.899220801,310,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,310,2004,4.734548818,13.34757496,310,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,311,2004,7.207781043,12.45832368,311,1,211,1,5162,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,311,2004,8.336194656,11.27788115,311,1,211,1,5162,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,312,2004,2.266585654,5.10830974,312,1,153,0.99,4932,2.29,0.01,74
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,313,2004,0.451134421,15.19707963,313,1,203,0.99,4813,1.22,0.01,30
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,314,2004,6.454300111,14.50394854,314,1,89,0.99,2315,0.65,0.01,16
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,318,2004,6.216395214,12.5987751,318,1,204,0.98,5329,3.1,0.02,100
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,337,2004,5.345787894,4.125017787,337,1,135,0.99,3756,1.24,0.01,40
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,339,2004,3.50019612,7.293622811,339,1,0,1,16,0,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,340,2004,8.121862029,3.865392168,340,1,222,1,6396,0.21,0,5
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,347,2004,3.195413191,15.01889129,347,1,102,0.83,3291,20.41,0.17,658
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,348,2004,0.787065936,13.93101771,348,1,14,0.97,439,0.43,0.03,14
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Dip Type III,Dip Type III,Onyx Alpha,352,2004,0.604183582,6.276534647,352,1,139,0.85,4080,21.71,0.15,697
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Ring Type II,Ring Type II,Onyx Alpha,316,2004,1.892359868,3.517536082,316,1,163,0.97,4974,4.01,0.03,128
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Ring Type II,Ring Type II,Onyx Alpha,320,2004,0.935759944,6.614010543,320,1,3,1,98,0.01,0,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Ring Type II,Ring Type II,Onyx Alpha,344,2004,4.126980255,0.95299458,344,1,0,,0,0,,0
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Ring Type II,Ring Type II,Onyx Alpha,345,2004,1.590104148,6.328951755,345,1,104,0.96,3104,3.73,0.04,119
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Ring Type II,Ring Type II,Onyx Alpha,360,2004,4.284770594,9.343740328,360,1,25,0.96,806,1.09,0.04,35
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Onyx Alpha,319,2004,8.272323896,13.0539819,319,1,19,0.48,438,18.74,0.52,476
3/31/2004 12:00:00 AM,3/31/2010 12:00:00 AM,Cataclasite,Cataclasite,Onyx Alpha,353,2004,2.01002951,7.858441294,353,1,0,,0,0,,0
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,83,2004,8.328476783,6.935440083,83,1,22,0.96,731,1.01,0.04,34
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,92,2004,0.575793982,9.209652685,92,1,134,0.98,2170,1.72,0.02,37
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,93,2004,3.074113152,6.878906021,93,1,134,0.97,1927,6.05,0.03,50
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,93,2004,5.991963176,2.547676107,93,1,134,0.97,1927,6.05,0.03,50
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,94,2004,5.552904264,8.483934588,94,1,219,0.99,3527,1.5,0.01,19
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,94,2004,7.162924908,11.19455439,94,1,219,0.99,3527,1.5,0.01,19
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,100,2004,3.915208228,10.54676382,100,1,7,0.95,221,0.32,0.05,11
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,105,2004,4.324203556,2.765538811,105,1,81,0.97,2233,2.32,0.03,63
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,107,2004,2.09860342,5.344663595,107,1,66,0.98,1471,0.85,0.02,23
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,112,2004,8.134120707,2.046215795,112,1,101,0.95,1985,4,0.05,107
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,113,2004,4.516033179,4.735347952,113,1,11,1,374,0,0,0
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,168,2004,0.19978859,10.01212948,168,1,0,,0,0,,0
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type I,Dip Type I,Nor B,330,2004,1.862293832,15.81207549,330,1,0,,0,0,,0
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,133,2004,8.473116935,14.57107902,133,1,0,,,0,,
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,135,2004,4.163883224,16.58303796,135,1,2,0.95,70,0.11,0.05,4
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,135,2004,6.867340025,15.73664975,135,1,2,0.95,70,0.11,0.05,4
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type II,Dip Type II,Nor B,138,2004,2.754508413,3.460543172,138,1,0,,0,0,,0
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Strike Type II,Strike Type II,Nor B,127,2004,7.504042548,5.833520335,127,1,13,0.91,423,1.26,0.09,42
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Strike Type I,Strike Type I,Nor B,3,2004,0.126780413,9.273108304,3,1,0,,0,0,,0
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,2.872006476,11.50798328,18,1,132,1,2193,0.57,0,11
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,3.583850195,6.318003512,18,1,132,1,2193,0.57,0,11
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,18,2004,7.958543251,4.219703484,18,1,132,1,2193,0.57,0,11
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,20,2004,0.465918197,14.16183982,20,1,66,0.99,1525,0.27,0.01,9
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,20,2004,2.465849771,10.53941217,20,1,66,0.99,1525,0.27,0.01,9
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Dip Type III,Dip Type III,Nor B,20,2004,7.561172387,1.743691162,20,1,66,0.99,1525,0.27,0.01,9
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Ring Type II,Ring Type II,Nor B,39,2004,2.036576885,3.896792992,39,1,21,0.55,671,16.38,0.45,546
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Ring Type II,Ring Type II,Nor B,39,2004,7.818901228,2.179111931,39,1,21,0.55,671,16.38,0.45,546
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,7,2004,0.450222965,6.30424832,7,1,54,0.99,1302,0.43,0.01,12
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,52,2004,3.620309624,14.66089684,52,1,13,1,439,0.03,0,1
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,56,2004,0.084577775,11.64872135,56,1,126,0.99,2794,0.61,0.01,16
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,56,2004,5.147800589,1.1392422,56,1,126,0.99,2794,0.61,0.01,16
4/30/2004 12:00:00 AM,4/30/2010 12:00:00 AM,Listric Type II,Listric Type II,Nor B,56,2004,7.403441658,1.662030351,56,1,126,0.99,2794,0.61,0.01,16
